Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15
4800969.357,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801002.039999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801035.577,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801070.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801102.805,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801136.420999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801170.646,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801203.628,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801237.243,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801270.920999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801304.981,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801338.215999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801371.660999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801406.352,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801438.993999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801472.4799999995,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801506.975,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801539.697,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801573.308,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801607.669,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801640.527,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801674.131999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801708.202999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801741.342999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801775.215,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801808.556,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801842.941999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801875.870999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801909.380999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801944.062,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4801976.716999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802010.31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802044.875,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802077.412,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802112.069999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802145.261,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802178.228,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802212.850999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802245.642999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802279.062,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802313.878,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802346.272999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802379.881,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4802414.160999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
